5001 35898
1 12 0.166667
1 4710 0.026316
1 4871 0.020833
1 4922 0.019231
1 4971 0.017544
1 4979 0.017241
12 1 0.166667
12 1549 0.125000
12 1756 0.125000
12 2022 0.111111
12 2369 0.100000
12 2371 0.100000
4710 1 0.166667
4710 327 0.166667
4710 850 0.142857
4710 1545 0.125000
4710 1862 0.125000
4710 2365 0.100000
4710 2387 0.100000
4710 2484 0.100000
4710 2486 0.100000
4710 2573 0.100000
4710 2805 0.090909
4710 2926 0.083333
4710 2937 0.083333
4710 3127 0.076923
4710 3384 0.071429
4710 3455 0.066667
4710 3551 0.066667
4710 3570 0.066667
4710 3663 0.062500
4710 3895 0.055556
4710 4147 0.045455
4710 4166 0.045455
4710 4190 0.043478
4710 4269 0.041667
4710 4320 0.038462
4710 4399 0.037037
4710 4533 0.032258
4710 4555 0.031250
4710 4604 0.030303
4710 4638 0.028571
4710 4755 0.025000
4710 4776 0.024390
4710 4871 0.020833
4710 4874 0.020833
4710 4922 0.019231
4710 4963 0.017857
4710 4971 0.017544
4710 4979 0.017241
4871 1 0.166667
4871 174 0.166667
4871 327 0.166667
4871 510 0.166667
4871 850 0.142857
4871 1050 0.142857
4871 1491 0.142857
4871 1545 0.125000
4871 1823 0.125000
4871 1865 0.125000
4871 2093 0.111111
4871 2242 0.111111
4871 2254 0.111111
4871 2387 0.100000
4871 2440 0.100000
4871 2484 0.100000
4871 2486 0.100000
4871 2573 0.100000
4871 2602 0.100000
4871 2681 0.090909
4871 2926 0.083333
4871 2937 0.083333
4871 3101 0.083333
4871 3127 0.076923
4871 3130 0.076923
4871 3384 0.071429
4871 3455 0.066667
4871 3551 0.066667
4871 3570 0.066667
4871 3663 0.062500
4871 3895 0.055556
4871 4059 0.050000
4871 4147 0.045455
4871 4166 0.045455
4871 4269 0.041667
4871 4320 0.038462
4871 4399 0.037037
4871 4533 0.032258
4871 4555 0.031250
4871 4604 0.030303
4871 4638 0.028571
4871 4710 0.026316
4871 4874 0.020833
4871 4922 0.019231
4871 4963 0.017857
4871 4971 0.017544
4871 4979 0.017241
4871 4982 0.017241
4922 1 0.166667
4922 1032 0.142857
4922 1050 0.142857
4922 1491 0.142857
4922 1545 0.125000
4922 1575 0.125000
4922 1640 0.125000
4922 1823 0.125000
4922 1862 0.125000
4922 1865 0.125000
4922 2093 0.111111
4922 2217 0.111111
4922 2242 0.111111
4922 2254 0.111111
4922 2365 0.100000
4922 2387 0.100000
4922 2440 0.100000
4922 2484 0.100000
4922 2573 0.100000
4922 2602 0.100000
4922 2681 0.090909
4922 2805 0.090909
4922 2926 0.083333
4922 2937 0.083333
4922 3127 0.076923
4922 3384 0.071429
4922 3447 0.066667
4922 3455 0.066667
4922 3551 0.066667
4922 3570 0.066667
4922 3663 0.062500
4922 3697 0.062500
4922 3895 0.055556
4922 4033 0.050000
4922 4147 0.045455
4922 4166 0.045455
4922 4190 0.043478
4922 4269 0.041667
4922 4320 0.038462
4922 4399 0.037037
4922 4484 0.033333
4922 4533 0.032258
4922 4555 0.031250
4922 4604 0.030303
4922 4638 0.028571
