5001 72598
1 4681 0.027027
1 4682 0.027027
1 4788 0.023810
1 4850 0.021739
1 4884 0.020408
1 4899 0.020000
4681 1 0.166667
4681 451 0.166667
4681 654 0.166667
4681 810 0.166667
4681 853 0.142857
4681 1823 0.125000
4681 1936 0.125000
4681 2265 0.111111
4681 2337 0.111111
4681 2540 0.100000
4681 2579 0.100000
4681 2824 0.090909
4681 3133 0.076923
4681 3138 0.076923
4681 3207 0.076923
4681 3476 0.066667
4681 3550 0.066667
4681 3789 0.055556
4681 3999 0.055556
4681 4067 0.052632
4681 4159 0.043478
4681 4183 0.043478
4681 4273 0.040000
4681 4409 0.035714
4681 4418 0.035714
4681 4447 0.034483
4681 4471 0.033333
4681 4477 0.033333
4681 4480 0.033333
4681 4546 0.031250
4681 4611 0.029412
4681 4637 0.027778
4681 4682 0.027027
4681 4788 0.023810
4681 4850 0.021739
4681 4884 0.020408
4681 4899 0.020000
4682 1 0.166667
4682 242 0.166667
4682 654 0.166667
4682 857 0.142857
4682 1222 0.142857
4682 1543 0.125000
4682 1548 0.125000
4682 1764 0.125000
4682 2174 0.111111
4682 2265 0.111111
4682 2337 0.111111
4682 2540 0.100000
4682 2579 0.100000
4682 3133 0.076923
4682 3138 0.076923
4682 3207 0.076923
4682 3476 0.066667
4682 3550 0.066667
4682 3789 0.055556
4682 3999 0.055556
4682 4067 0.052632
4682 4159 0.043478
4682 4183 0.043478
4682 4273 0.040000
4682 4409 0.035714
4682 4418 0.035714
4682 4447 0.034483
4682 4471 0.033333
4682 4477 0.033333
4682 4480 0.033333
4682 4546 0.031250
4682 4611 0.029412
4682 4681 0.027027
4682 4788 0.023810
4682 4850 0.021739
4682 4884 0.020408
4682 4899 0.020000
4788 1 0.166667
4788 169 0.166667
4788 451 0.166667
4788 654 0.166667
4788 810 0.166667
4788 853 0.142857
4788 857 0.142857
4788 1222 0.142857
4788 1543 0.125000
4788 1764 0.125000
4788 1823 0.125000
4788 1936 0.125000
4788 2002 0.111111
4788 2337 0.111111
4788 2540 0.100000
4788 2579 0.100000
4788 2824 0.090909
4788 3133 0.076923
4788 3138 0.076923
4788 3207 0.076923
4788 3476 0.066667
4788 3550 0.066667
4788 3789 0.055556
4788 3999 0.055556
4788 4067 0.052632
4788 4159 0.043478
4788 4183 0.043478
4788 4273 0.040000
4788 4409 0.035714
4788 4418 0.035714
4788 4447 0.034483
4788 4471 0.033333
4788 4477 0.033333
4788 4480 0.033333
4788 4546 0.031250
4788 4611 0.029412
4788 4681 0.027027
4788 4682 0.027027
4788 4850 0.021739
4788 4884 0.020408
4788 4890 0.020000
4788 4899 0.020000
4850 1 0.166667
4850 169 0.166667
4850 242 0.166667
4850 451 0.166667
4850 810 0.166667
4850 853 0.142857
4850 857 0.142857
4850 1222 0.142857
4850 1543 0.125000
4850 1548 0.125000
4850 1764 0.125000
4850 1823 0.125000
4850 1936 0.125000
4850 2002 0.111111
4850 2146 0.111111
4850 2174 0.111111
4850 2265 0.111111
4850 2337 0.111111
4850 2540 0.100000
4850 2824 0.090909
4850 3133 0.076923
4850 3138 0.076923
4850 3207 0.076923
4850 3418 0.071429
4850 3476 0.066667
4850 3550 0.066667
4850 3722 0.058824
4850 3789 0.055556
4850 3999 0.055556
4850 4067 0.052632
4850 4159 0.043478
4850 4183 0.043478
4850 4273 0.040000
4850 4409 0.035714
4850 4418 0.035714
4850 4447 0.034483
4850 4471 0.033333
