5001 35900
1 4065 0.050000
1 4149 0.045455
1 4237 0.041667
1 4284 0.040000
1 4356 0.037037
1 4450 0.034483
4065 1 0.166667
4065 411 0.166667
4065 541 0.166667
4065 668 0.166667
4065 944 0.142857
4065 1723 0.125000
4065 2226 0.111111
4065 2754 0.090909
4065 2787 0.090909
4065 3280 0.076923
4065 3417 0.071429
4065 3611 0.062500
4065 3675 0.062500
4065 3909 0.052632
4065 4149 0.045455
4065 4222 0.043478
4065 4237 0.041667
4065 4284 0.040000
4065 4356 0.037037
4065 4450 0.034483
4149 1 0.166667
4149 76 0.166667
4149 312 0.166667
4149 668 0.166667
4149 854 0.142857
4149 944 0.142857
4149 976 0.142857
4149 1098 0.142857
4149 1723 0.125000
4149 2226 0.111111
4149 2754 0.090909
4149 3280 0.076923
4149 3417 0.071429
4149 3611 0.062500
4149 3675 0.062500
4149 3909 0.052632
4149 4065 0.050000
4149 4222 0.043478
4149 4237 0.041667
4149 4284 0.040000
4149 4356 0.037037
4149 4450 0.034483
4237 1 0.166667
4237 312 0.166667
4237 411 0.166667
4237 541 0.166667
4237 668 0.166667
4237 854 0.142857
4237 944 0.142857
4237 976 0.142857
4237 1098 0.142857
4237 2226 0.111111
4237 2754 0.090909
4237 2787 0.090909
4237 2853 0.090909
4237 3280 0.076923
4237 3417 0.071429
4237 3611 0.062500
4237 3675 0.062500
4237 3909 0.052632
4237 4065 0.050000
4237 4149 0.045455
4237 4222 0.043478
4237 4284 0.040000
4237 4356 0.037037
4237 4450 0.034483
4284 1 0.166667
4284 76 0.166667
4284 312 0.166667
4284 323 0.166667
4284 411 0.166667
4284 805 0.166667
4284 944 0.142857
4284 976 0.142857
4284 1098 0.142857
4284 1723 0.125000
4284 2226 0.111111
4284 2754 0.090909
4284 2787 0.090909
4284 2853 0.090909
4284 3280 0.076923
4284 3417 0.071429
4284 3611 0.062500
4284 3675 0.062500
4284 3909 0.052632
4284 4065 0.050000
4284 4149 0.045455
4284 4222 0.043478
4284 4237 0.041667
4284 4356 0.037037
4284 4450 0.034483
4356 1 0.166667
4356 76 0.166667
4356 312 0.166667
4356 323 0.166667
4356 411 0.166667
4356 541 0.166667
4356 668 0.166667
4356 805 0.166667
4356 854 0.142857
4356 944 0.142857
4356 976 0.142857
4356 1723 0.125000
4356 2226 0.111111
4356 2754 0.090909
4356 2787 0.090909
4356 2853 0.090909
4356 3280 0.076923
4356 3417 0.071429
4356 3611 0.062500
4356 3675 0.062500
4356 3909 0.052632
4356 4065 0.050000
4356 4149 0.045455
4356 4222 0.043478
4356 4237 0.041667
4356 4284 0.040000
4356 4450 0.034483
4450 1 0.166667
4450 76 0.166667
4450 312 0.166667
4450 323 0.166667
4450 411 0.166667
4450 541 0.166667
4450 668 0.166667
4450 805 0.166667
4450 854 0.142857
4450 944 0.142857
4450 976 0.142857
4450 1098 0.142857
4450 1723 0.125000
4450 2226 0.111111
4450 2754 0.090909
4450 2787 0.090909
4450 2853 0.090909
4450 3280 0.076923
4450 3417 0.071429
4450 3611 0.062500
4450 3675 0.062500
4450 3909 0.052632
4450 4065 0.050000
4450 4149 0.045455
4450 4222 0.043478
4450 4237 0.041667
4450 4284 0.040000
4450 4356 0.037037
4450 4927 0.019231
2 2856 0.090909
2 3677 0.062500
2 3743 0.058824
2 3755 0.058824
2 3918 0.052632
2 3976 0.052632
2856 2 0.166667
2856 1666 0.125000
2856 1876 0.125000
2856 2418 0.100000
2856 2838 0.090909
2856 2935 0.083333
2856 3392 0.071429
2856 3677 0.062500
2856 3743 0.058824
2856 3918 0.052632
2856 3976 0.052632
3677 2 0.166667
3677 1060 0.142857
3677 1440 0.142857
3677 1596 0.125000
3677 2418 0.100000
3677 2600 0.100000
3677 2838 0.090909
3677 2856 0.090909
3677 2935 0.083333
3677 3100 0.083333
3677 3306 0.071429
3677 3392 0.071429
3677 3743 0.058824
3677 3755 0.058824
3677 3918 0.052632
3677 3976 0.052632
3743 2 0.166667
3743 839 0.166667
3743 1060 0.142857
3743 1440 0.142857
3743 1596 0.125000
3743 1876 0.125000
3743 2418 0.100000
3743 2600 0.100000
3743 2856 0.090909
3743 2935 0.083333
3743 3100 0.083333
3743 3306 0.071429
3743 3392 0.071429
3743 3677 0.062500
3743 3755 0.058824
3743 3918 0.052632
3743 3976 0.052632
3755 2 0.166667
3755 1060 0.142857
3755 1440 0.142857
3755 1596 0.125000
3755 1666 0.125000
3755 1876 0.125000
3755 2418 0.100000
3755 2600 0.100000
3755 2838 0.090909
3755 2935 0.083333
3755 3100 0.083333
3755 3306 0.071429
3755 3392 0.071429
3755 3677 0.062500
3755 3743 0.058824
3755 3918 0.052632
3755 3976 0.052632
3918 2 0.166667
3918 839 0.166667
3918 1060 0.142857
3918 1596 0.125000
3918 1666 0.125000
3918 1876 0.125000
3918 2418 0.100000
3918 2600 0.100000
3918 2777 0.090909
3918 2838 0.090909
3918 2856 0.090909
3918 2935 0.083333
3918 3100 0.083333
3918 3306 0.071429
3918 3392 0.071429
3918 3677 0.062500
3918 3743 0.058824
3918 3755 0.058824
3918 3976 0.052632
3976 2 0.166667
3976 839 0.166667
3976 1060 0.142857
3976 1440 0.142857
3976 1596 0.125000
3976 1666 0.125000
3976 1876 0.125000
3976 2418 0.100000
3976 2600 0.100000
3976 2838 0.090909
3976 2856 0.090909
3976 2935 0.083333
3976 3100 0.083333
3976 3306 0.071429
3976 3392 0.071429
3976 3677 0.062500
3976 3743 0.058824
3976 3755 0.058824
3976 3918 0.052632
3 654 0.166667
3 2791 0.090909
3 2985 0.083333
3 3416 0.071429
3 3642 0.062500
3 4179 0.045455
654 3 0.166667
654 1373 0.142857
654 1475 0.142857
654 2027 0.111111
654 2111 0.111111
654 4179 0.045455
2791 3 0.166667
2791 1345 0.142857
2791 1865 0.125000
2791 2027 0.111111
2791 2113 0.111111
2791 2367 0.100000
2791 2985 0.083333
2791 3221 0.076923
2791 3416 0.071429
2791 3642 0.062500
2791 4179 0.045455
2985 3 0.166667
2985 995 0.142857
2985 1345 0.142857
2985 1475 0.142857
2985 1865 0.125000
2985 2113 0.111111
2985 2367 0.100000
2985 2791 0.090909
2985 2929 0.083333
2985 3221 0.076923
2985 3416 0.071429
2985 4179 0.045455
3416 3 0.166667
3416 382 0.166667
3416 1345 0.142857
3416 2111 0.111111
3416 2367 0.100000
3416 2529 0.100000
3416 2791 0.090909
3416 2929 0.083333
3416 2985 0.083333
3416 3221 0.076923
3416 3406 0.071429
3416 3642 0.062500
3416 4179 0.045455
3416 4825 0.022727
3642 3 0.166667
3642 382 0.166667
3642 508 0.166667
3642 1118 0.142857
3642 1133 0.142857
3642 1345 0.142857
3642 2111 0.111111
3642 2113 0.111111
3642 2367 0.100000
3642 2529 0.100000
3642 2791 0.090909
3642 2929 0.083333
3642 3221 0.076923
3642 3406 0.071429
3642 3416 0.071429
3642 4179 0.045455
4179 3 0.166667
4179 508 0.166667
4179 654 0.166667
4179 995 0.142857
4179 1118 0.142857
4179 1133 0.142857
4179 1373 0.142857
4179 1475 0.142857
4179 1865 0.125000
4179 2027 0.111111
4179 2111 0.111111
4179 2113 0.111111
4179 2367 0.100000
4179 2529 0.100000
4179 2791 0.090909
4179 2929 0.083333
4179 2985 0.083333
4179 3221 0.076923
4179 3406 0.071429
4179 3416 0.071429
4179 3642 0.062500
4179 3827 0.055556
4 4060 0.050000
4 4579 0.030303
