0	0.716535
1	0.653924
2	0.716981
3	0.764045
4	0.626976
5	0.620229
6	0.640678
7	0.742049
8	0.652672
9	0.728000
10	0.609337
11	0.733333
12	0.592536
13	0.604586
14	0.574059
15	0.599854
16	0.581808
17	0.656075
18	0.585558
19	0.820896
20	0.560889
21	0.758621
22	0.734266
23	0.818182
24	0.865385
25	0.742857
26	0.818182
27	0.633385
28	0.803571
29	0.578688
30	0.582581
31	0.644841
32	0.668571
33	0.575900
34	0.632296
35	0.750000
36	0.697674
37	0.571576
38	0.705069
39	0.849057
40	0.587921
41	0.808824
42	0.600733
43	0.600000
44	0.564429
45	0.588256
46	0.660232
47	0.668122
48	0.613091
49	0.606436
50	0.679412
51	0.634615
52	0.569606
53	0.724138
54	0.578748
55	0.584469
56	0.623333
57	0.599889
58	0.628644
59	0.604859
60	0.609655
61	0.740741
62	0.617162
63	0.606022
64	0.776471
65	0.585366
66	0.644068
67	0.704663
68	0.598873
69	0.722222
70	0.573737
71	0.624500
72	0.750000
73	0.643777
74	0.625841
75	0.648562
76	0.728972
77	0.667969
78	0.613861
79	0.579948
80	0.583510
81	0.617238
82	0.584088
83	0.573243
84	0.570740
85	0.764706
86	0.798246
87	0.617089
88	0.636776
89	0.568639
90	0.708333
91	0.621118
92	0.668122
93	0.775862
94	0.718563
95	0.833333
96	0.725118
97	0.663793
98	0.775862
99	0.833333
100	0.637280
101	0.596026
102	0.607377
103	0.685547
104	0.634720
105	0.625578
106	0.583333
107	0.681818
108	0.728000
109	0.589286
110	0.803571
111	0.599130
112	0.722222
113	0.743169
114	0.579883
115	0.651261
116	0.630252
117	0.573372
118	0.758621
119	0.701754
120	0.554327
121	0.594512
122	0.607875
123	0.652174
124	0.604061
125	0.603911
126	0.724138
127	0.803571
128	0.600000
129	0.731707
130	0.583997
131	0.708333
132	0.705426
133	0.668790
134	0.725275
135	0.572501
136	0.564538
137	0.598807
138	0.574365
139	0.605067
140	0.619233
141	0.569447
142	0.750000
143	0.745902
144	0.695364
145	0.608856
146	0.652174
147	0.739437
148	0.638767
149	0.588113
150	0.662021
151	0.671053
152	0.833333
153	0.613301
